coeff1_g,coeff2_g,coeff3_g,residuo_g,maxflux_g,coeff1_r,coeff2_r,coeff3_r,residuo_r,maxflux_r,key,y_true
0.7173873065590567,-0.0241208819628543,0.2523850137992028,1.0581584858725348,252.20571899414065,0.6318419546487698,0.0293248966135883,0.3624969092936298,1.991650832520832,574.3917236328125,2663180,True
0.6262978938190753,0.0662223102706276,0.3910000544487462,1.607111465394854,367.761474609375,0.6439070420721759,-0.0152795028311558,0.3732264446716208,6.382233579767021,1720.7593994140625,7100715,True
1.1517235479091814,-0.14780145622007,0.0026456767170084,1.1182692267515366,1095.73388671875,1.0241048693736736,-0.0886192966718535,0.0650009539984151,0.986994263934266,748.95849609375,13970871,False
0.551938225087188,0.014075435053026,0.4467180286879743,1.4888819742855852,263.12164306640625,0.7153313538413717,-0.0372906150304427,0.3495197715846028,1.4132183048394056,364.587890625,19644471,True
0.8013580975386405,0.1017988816746391,0.2148709123773874,5.6515490708574845,3485.352294921875,0.7917688913435976,0.0862946611731082,0.2278753905898131,6.480857370739776,3297.369873046875,35443816,False
0.6453741002017017,-0.1307027893111068,0.4026140610082969,0.6260355370211083,237.8881378173828,0.5884973937352621,-0.0161394454281058,0.429277406587265,0.7741741353955781,366.1048889160156,50557974,True
0.87555273827154,-0.1572440345103139,0.2102719001819549,0.4040724273073989,266.82080078125,0.9798880787047894,-0.1057312406982046,0.1004804401941639,0.2691440761189288,300.0901794433594,77869659,False
1.4609746597895892,-0.2415031203794684,0.2322831114015936,0.8998330018705236,625.9327392578125,1.5200255003752785,-0.2746140001234036,0.4730442488675314,1.6430432826978258,1010.6852416992188,83760305,False
1.0459193763473924,-0.1737415602643525,0.065955491373027,0.8030073644556215,419.1820068359375,1.37195386393186,-0.5869702248929006,-0.1341591165397231,1.8779626550026185,567.259765625,101328137,False
0.7499153579074859,-0.0697840870901965,0.2997025234970424,2.478189271181227,624.3820190429688,0.7161942773304668,-0.0716079029522463,0.3277377839165246,2.575691757797435,608.4737548828125,130827363,True
